Date,Open,High,Low,Close,Adj_Close,Volume,Compound,Negative,Neutral,Positive
6/16/2010,9.325,9.5625,9.308214,9.544643,8.101459,783678000,0.8957,0.038,0.872,0.09
6/17/2010,9.664286,9.746429,9.625,9.709643,8.241509,872855200,0.988,0.011,0.865,0.123
6/18/2010,9.723214,9.821429,9.693571,9.788214,8.308203,784621600,0.9403,0.021,0.894,0.086
6/21/2010,9.9175,9.964643,9.5975,9.648929,8.18998,776490400,0.6911,0.065,0.851,0.085
6/22/2010,9.72,9.856071,9.696429,9.780357,8.301535,717262000,-0.9498,0.103,0.842,0.055
6/23/2010,9.806429,9.809286,9.567857,9.6775,8.214229,768457200,0.8957,0.029,0.894,0.077
6/24/2010,9.678571,9.757143,9.575,9.607143,8.154509,714277200,-0.2382,0.022,0.963,0.015
6/25/2010,9.645,9.6525,9.493214,9.525,8.084786,549942400,-0.8053,0.09,0.847,0.063
6/28/2010,9.533214,9.633929,9.447143,9.582143,8.133288,584948000,0.9074,0.011,0.911,0.078
6/29/2010,9.432857,9.4425,9.082143,9.148929,7.765579,1133344800,-0.6249,0.149,0.802,0.049
6/30/2010,9.168214,9.213214,8.928929,8.983214,7.624918,739452000,0,0,1,0
7/1/2010,9.082143,9.1,8.686429,8.874286,7.532463,1022896000,0,0,0,0
7/2/2010,8.946071,8.961786,8.685714,8.819286,7.485778,693842800,-0.8225,0.086,0.847,0.067
7/6/2010,8.964286,9.028571,8.791429,8.879643,7.537011,615235600,0.5187,0.032,0.921,0.047
7/7/2010,8.946071,9.241786,8.919643,9.238214,7.841362,654556000,0.7469,0.035,0.914,0.05
7/8/2010,9.374286,9.389286,9.103214,9.2175,7.823779,738144400,0.1263,0.035,0.926,0.039
7/9/2010,9.174643,9.282143,9.112857,9.272143,7.870161,433322400,0.2708,0.048,0.884,0.068
7/12/2010,9.233214,9.351786,9.102143,9.188929,7.799529,562878400,0.5886,0.029,0.933,0.038
7/13/2010,9.154286,9.157143,8.801071,8.992857,7.633109,1190924000,0.7418,0.068,0.849,0.083
7/14/2010,8.906429,9.135714,8.892857,9.026071,7.661297,812047600,-0.7389,0.075,0.861,0.064
7/15/2010,8.865357,9.1775,8.832143,8.980357,7.622497,824866000,0.9763,0.041,0.83,0.129
